update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
1,2048,607.6046360798946,3,0.04097222164273262,0.15868473207942252,0.0,0.6555555462837219,7.75,30.01562093310748,0.0,124.0,1.9223663210868835,-0.10546584893018007,-0.02539625426288694,0.0024723279202589765,0.03614418153261524,0.04097222164273262,0.15868473207942252,0.0,0.6555555462837219
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
2,4096,546.5815828855922,7,0.04097222164273262,0.15868473207942252,0.0,0.6555555462837219,7.75,30.01562093310748,0.0,124.0,1.9358416646718979,-0.0789077552035451,-0.01626658928580582,0.00015453652122232597,0.007289714212305983,0.04097222164273262,0.15868473207942252,0.0,0.6555555462837219
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
3,6144,505.0071690399441,11,0.04097222164273262,0.15868473207942252,0.0,0.6555555462837219,311.5,48.41229182759271,124.0,324.0,1.9368155747652054,-0.05674897786229849,-0.01914910483174026,0.000292438122414751,0.010234453919463884,0.04097222164273262,0.15868473207942252,0.0,0.6555555462837219
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
4,8192,491.4923453060407,15,0.0,0.0,0.0,0.0,324.0,0.0,324.0,324.0,1.9390638768672943,-0.050245821475982666,-0.009360914933495224,6.789420194763807e-05,0.0058677720571479585,0.0,0.0,0.0,0.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
5,10240,486.34793358305046,19,0.029513888992369175,0.0782406553885112,0.0,0.25,317.875,16.301361139487707,270.0,324.0,1.9412261545658112,-0.03940950380638242,-0.013376944465562701,0.0004445634531293763,0.00816559071853553,0.029513888992369175,0.0782406553885112,0.0,0.25
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
6,12288,499.9477694360686,23,0.029513888992369175,0.0782406553885112,0.0,0.25,317.875,16.301361139487707,270.0,324.0,1.941500797867775,-0.033153611700981855,-0.007750422926619649,6.858901633677306e-05,0.0036113002465150935,0.029513888992369175,0.0782406553885112,0.0,0.25
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
7,14336,481.95167519598584,27,0.029513888992369175,0.0782406553885112,0.0,0.25,317.875,16.301361139487707,270.0,324.0,1.9417890459299088,-0.02817750652320683,-0.004844094626605511,2.9038595130259637e-05,0.002257569832535989,0.029513888992369175,0.0782406553885112,0.0,0.25
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
8,16384,530.6014906000358,31,0.0,0.0,0.0,0.0,324.0,0.0,324.0,324.0,1.9430336654186249,-0.020525916013866663,-0.0065345363691449165,5.679219066223595e-05,0.002848896313574178,0.0,0.0,0.0,0.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
9,18432,500.5468234235088,35,0.03541666641831398,0.1371681592163135,0.0,0.5666666626930237,313.5,40.66632513517788,156.0,324.0,1.9393011033535004,-0.01385571644641459,-0.00815999519545585,0.0010490861277503427,0.010711710038889082,0.03541666641831398,0.1371681592163135,0.0,0.5666666626930237
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
10,20480,508.10072466717077,39,0.03541666641831398,0.1371681592163135,0.0,0.5666666626930237,313.5,40.66632513517788,156.0,324.0,1.9419750273227692,-0.00963825627695769,-0.0027793601620942354,7.159922233768157e-05,0.003475935592938299,0.03541666641831398,0.1371681592163135,0.0,0.5666666626930237
11,22528,521.2433205406263,43,0.03541666641831398,0.1371681592163135,0.0,0.5666666626930237,313.5,40.66632513517788,156.0,324.0,1.943353846669197,-0.007489712676033378,-0.0015750077873235568,3.701630066643702e-05,0.0028609849893894727,0.03541666641831398,0.1371681592163135,0.0,0.5666666626930237
12,24576,517.4551537660722,47,0.0,0.0,0.0,0.0,324.0,0.0,324.0,324.0,1.9440929889678955,-0.006429932080209255,-0.0012686510526691563,2.3832438273529988e-05,0.0016874942300752717,0.0,0.0,0.0,0.0
13,26624,493.5533110870672,51,0.0,0.0,0.0,0.0,324.0,0.0,324.0,324.0,1.9446323812007904,-0.0053218198590911925,-0.0015958073345245793,1.9567958361221827e-05,0.0014371969814451963,0.0,0.0,0.0,0.0
14,28672,532.0244354056721,55,0.0,0.0,0.0,0.0,324.0,0.0,324.0,324.0,1.9445758163928986,-0.004379069927381352,-0.001366251141007524,1.8641139376995852e-05,0.0014188676462555023,0.0,0.0,0.0,0.0
15,30720,549.2902969528161,59,0.03003472276031971,0.11632398105867509,0.0,0.48055556416511536,315.4375,33.162419901901,187.0,324.0,1.9418970048427582,-0.000474424672574969,-0.003227306489861803,0.0003833133159787394,0.0064183170043691975,0.03003472276031971,0.11632398105867509,0.0,0.48055556416511536
16,32768,506.5467444187441,63,0.03003472276031971,0.11632398105867509,0.0,0.48055556416511536,315.4375,33.162419901901,187.0,324.0,1.9436130076646805,-0.002828637880156748,-0.0006120157258919789,3.323121222820191e-05,0.002817381237984133,0.03003472276031971,0.11632398105867509,0.0,0.48055556416511536
