update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
262,536576,2140.3967942143563,230,0.037169311727796285,0.16622621540046534,0.0,0.7805555462837219,101.19047619047619,93.06813635468987,3.0,324.0,1.9400260299444199,0.010986770270392299,-0.005297418072586879,0.0014971509190218057,0.007156751850967341,0.037169311727796285,0.16622621540046534,0.0,0.7805555462837219
263,538624,2057.303793515061,231,0.05017361044883728,0.19432155768744522,0.0,0.8027777671813965,118.875,125.869413977344,2.0,324.0,1.9371394366025925,0.008515661291312426,-0.0038778641683165915,0.0010643192536008428,0.005540914406391734,0.05017361044883728,0.19432155768744522,0.0,0.8027777671813965
264,540672,1935.1925423104121,232,0.0,0.0,0.0,0.0,118.75,113.42811600304397,5.0,324.0,1.9437856674194336,0.008487445418722928,0.0028180951776448637,2.3278416847460903e-05,0.0014969545223825372,0.0,0.0,0.0,0.0
265,542720,2109.816565403706,233,0.037499999006589256,0.11025227208398666,0.0,0.4277777671813965,135.94444444444446,111.14078770351605,5.0,324.0,1.9360041171312332,0.012907649739645422,-0.0013090298598399386,0.0013656186674779747,0.007590483731925266,0.037499999006589256,0.11025227208398666,0.0,0.4277777671813965
266,544768,2048.5465325283762,234,0.02656250074505806,0.10287612301923196,0.0,0.42500001192092896,121.3125,100.5122621561668,7.0,324.0,1.9402557015419006,0.014148139394819736,0.0001274579844903201,0.0004398844721436035,0.004949164075017887,0.02656250074505806,0.10287612301923196,0.0,0.42500001192092896
267,546816,2158.5337217550946,235,0.03406432741566708,0.1445227014730621,0.0,0.6472222208976746,121.6842105263158,110.84652862668844,2.0,324.0,1.9376125484704971,0.01727381069213152,-0.0015496075648115948,0.00043108666068292223,0.0056406854758555645,0.03406432741566708,0.1445227014730621,0.0,0.6472222208976746
268,548864,2073.8590590788763,236,0.04045138880610466,0.15666755517700445,0.0,0.6472222208976746,160.25,110.59639460669592,2.0,324.0,1.9426971524953842,0.01056964963208884,0.003028842416824773,5.44458350759669e-05,0.0030036630092157195,0.04045138880610466,0.15666755517700445,0.0,0.6472222208976746
269,550912,1992.610026314715,237,0.0,0.0,0.0,0.0,132.4375,107.9050327545013,18.0,324.0,1.9442550539970398,0.00818920903839171,0.0026068799488712102,1.3538395251089241e-05,0.0025715606983839037,0.0,0.0,0.0,0.0
270,552960,1988.302164974321,238,0.07829860970377922,0.21578394020190345,0.0,0.7972221970558167,167.875,110.87373167256526,36.0,324.0,1.9319281727075577,0.02041717863176018,-0.007012514557573013,0.0012130857576266862,0.010057737163112777,0.07829860970377922,0.21578394020190345,0.0,0.7972221970558167
271,555008,1985.6423768435814,239,0.06267360970377922,0.16660869160793348,0.0,0.5472221970558167,128.0,90.59111435455466,6.0,324.0,1.9353267401456833,0.01761054969392717,-0.00037978135515004396,0.0004264275212335633,0.004482465337336638,0.06267360970377922,0.16660869160793348,0.0,0.5472221970558167
272,557056,2030.393878611304,240,0.0,0.0,0.0,0.0,126.05,93.04003170678737,1.0,305.0,1.9405837804079056,0.009204040747135878,0.003144658840028569,8.162240465026116e-05,0.004072215936854636,0.0,0.0,0.0,0.0
273,559104,1950.7540078194265,241,0.04531250149011612,0.1754945636462185,0.0,0.7250000238418579,123.8125,104.1856628512292,1.0,324.0,1.9370786994695663,0.013432534877210855,-0.004018747081317997,0.0018210940397693776,0.010532651649675963,0.04531250149011612,0.1754945636462185,0.0,0.7250000238418579
274,561152,2125.892551771075,242,0.04531250149011612,0.1754945636462185,0.0,0.7250000238418579,140.0,95.97200112532822,2.0,324.0,1.944114312529564,0.011335819959640503,0.0024033673107624054,9.339572841327026e-06,0.0012212798247951354,0.04531250149011612,0.1754945636462185,0.0,0.7250000238418579
275,563200,2141.6567354370595,243,0.03628472238779068,0.14053012552967273,0.0,0.5805555582046509,222.25,119.23322733198158,3.0,324.0,1.9382126480340958,0.017742544878274202,-0.0012906726332175822,0.0004754282699650503,0.0038901084093779115,0.03628472238779068,0.14053012552967273,0.0,0.5805555582046509
276,565248,2134.8703005467946,244,0.0,0.0,0.0,0.0,170.3125,118.88792976475787,17.0,324.0,1.9423858076334,0.008660654246341437,0.0024490573268849403,9.485924238106236e-06,0.0013291995081934661,0.0,0.0,0.0,0.0
277,567296,2136.38406459241,245,0.0,0.0,0.0,0.0,124.72222222222223,93.93485068301065,2.0,324.0,1.9440394192934036,0.007771555858198553,0.002432460431009531,8.573972445446998e-05,0.0029670592788598425,0.0,0.0,0.0,0.0
278,569344,2045.555655254332,246,0.0,0.0,0.0,0.0,129.125,95.39776923492498,3.0,311.0,1.9448951929807663,0.005353734653908759,0.001749807459418662,2.4031610337260645e-06,0.0004846601481950953,0.0,0.0,0.0,0.0
279,571392,2146.2184522224147,247,0.04322916641831398,0.16742584160855897,0.0,0.6916666626930237,113.625,87.86130761034688,1.0,324.0,1.9426552653312683,0.008629706804640591,-0.004732085286377696,0.0007741538993286667,0.005814959428037945,0.04322916641831398,0.16742584160855897,0.0,0.6916666626930237
280,573440,2060.5881313537784,248,0.04322916641831398,0.16742584160855897,0.0,0.6916666626930237,159.625,105.93209794486278,1.0,324.0,1.9447050243616104,0.005658994836267084,0.0017513614729978144,3.768822836036634e-06,0.0006803787170749211,0.04322916641831398,0.16742584160855897,0.0,0.6916666626930237
281,575488,2079.7724948840596,249,0.03593749925494194,0.13918533611873157,0.0,0.574999988079071,130.0625,119.70456797361578,4.0,324.0,1.9409133195877075,0.010842365911230445,-0.00331681842362741,0.000856580172694521,0.0062718154382525254,0.03593749925494194,0.13918533611873157,0.0,0.574999988079071
282,577536,2102.6957038344012,250,0.0,0.0,0.0,0.0,152.1875,105.92994073325067,7.0,324.0,1.9440236240625381,0.005356456968002021,0.0005421623973234091,6.638171225858969e-05,0.0015217122833063497,0.0,0.0,0.0,0.0
283,579584,2163.5180209326372,251,0.02483660157989053,0.09934640631956211,0.0,0.42222222685813904,125.58823529411765,97.03914238960144,4.0,324.0,1.9415809214115143,0.010631091659888625,-0.0020991564670111984,0.0009356061327707721,0.00572826042029442,0.02483660157989053,0.09934640631956211,0.0,0.42222222685813904
